,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:7849,G:HGNC:7851,['GTG'],25.0,0.957,576.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
2,G:HGNC:3435,G:HGNC:26220,['GMDMG'],1.0,0.998,645.0,1
1,G:HGNC:3435,G:HGNC:26220,['GMG'],2.0,0.992,244.0,1
5,G:HGNC:3435,G:HGNC:26220,"['GMG', 'GMDMG']",2.0,0.999,1459.0,1
6,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMG', 'GMDMG']",60.0,0.948,1144.0,1
4,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMDMG']",93.0,0.965,2644.0,1
3,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMG']",103.0,0.899,1024.0,1
0,G:HGNC:3435,G:HGNC:26220,['GTG'],387.0,0.325,573.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:16253,G:HGNC:11278,['GPdPG'],2.0,0.867,15.0,1
4,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG']",2.0,0.97,66.0,1
8,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDpDMG']",2.0,1.0,6544.0,1
11,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDpDMG']",2.0,0.956,45.0,1
1,G:HGNC:16253,G:HGNC:11278,['GTG'],3.0,0.987,235.0,1
10,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDMG']",3.0,0.943,53.0,1
14,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",3.0,0.935,46.0,1
7,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDMG']",5.0,0.999,7307.0,1
6,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDpDMG']",7.0,0.879,58.0,1
12,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDMG', 'GMDpDMG']",9.0,0.845,58.0,1
5,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDMG']",10.0,0.846,65.0,1
13,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDMG', 'GMDpDMG']",18.0,0.998,7852.0,1
2,G:HGNC:16253,G:HGNC:11278,['GMDMG'],2895.0,0.322,4267.0,1
3,G:HGNC:16253,G:HGNC:11278,['GMDpDMG'],3045.0,0.524,6396.0,1
9,G:HGNC:16253,G:HGNC:11278,"['GMDMG', 'GMDpDMG']",6183.0,0.519,12852.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:7717,G:HGNC:7716,['GDG'],1.0,0.8,5.0,1
1,G:HGNC:7717,G:HGNC:7716,['GDpDG'],1.0,0.998,434.0,1
2,G:HGNC:7717,G:HGNC:7716,['GPdPG'],1.0,0.933,15.0,1
4,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG']",1.0,0.9,10.0,1
5,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GPdPG']",1.0,0.833,6.0,1
7,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GPdPG']",1.0,0.974,39.0,1
10,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GPdPG']",1.0,0.875,8.0,1
3,G:HGNC:7717,G:HGNC:7716,['GTG'],3.0,0.991,350.0,1
6,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GTG']",3.0,0.94,50.0,1
8,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GTG']",3.0,0.999,2078.0,1
9,G:HGNC:7717,G:HGNC:7716,"['GPdPG', 'GTG']",3.0,0.98,152.0,1
11,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GTG']",3.0,0.942,52.0,1
12,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GPdPG', 'GTG']",3.0,0.927,41.0,1
13,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GPdPG', 'GTG']",3.0,0.969,98.0,1
14,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GPdPG', 'GTG']",3.0,0.927,41.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:14129,G:HGNC:24650,['GTG'],1.0,0.998,490.0,1
4,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG']",1.0,1.0,2101.0,1
5,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDMG']",1.0,1.0,12101.0,1
10,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDMG']",1.0,1.0,4475.0,1
11,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDpDMG']",1.0,1.0,4254.0,1
14,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",1.0,1.0,4299.0,1
6,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDpDMG']",2.0,1.0,10882.0,1
